fluid,T,P,Tc,Pc,omega,rho_PR,rho_CP,rho_dev_pct,Cp_PR,Cp_CP,Cp_dev_pct,in_two_phase
水,420,0.1,647.1,22.064,0.344,0.5191106553055046,0.5203780460656144,-0.24355192723676858,1.9720711249061902,1.9867556530139208,-0.7391209928334195,0
水,420,0.6,647.1,22.064,0.344,3.218602318897937,920.0200637341768,-99.6501595513217,2.2576988053678053,4.298459244295188,-47.476556667039034,0
水,420,1.1,647.1,22.064,0.344,6.117068021966277,920.2998203210772,-99.3353179163034,2.628127390320828,4.296883684324945,-38.83643162349843,0
水,420,1.6,647.1,22.064,0.344,9.260518358038407,920.5790069283389,-98.9940550144699,3.1207446160673364,4.295314951155855,-27.34538324768118,0
水,420,2.1,647.1,22.064,0.344,12.715968508548759,920.857626659966,-98.61911677327682,3.799693075396011,4.293752990613018,-11.506482005302077,0
水,420,2.6,647.1,22.064,0.344,16.58795743390741,921.135682591741,-98.19918414329202,4.786349515626865,4.29219774918283,11.51279123936249,0
水,420,3.1,647.1,22.064,0.344,21.056830509715116,921.4131777715662,-97.714724401854,6.34631950299184,4.2906491739779735,47.910473349374314,0
水,420,3.6,647.1,22.064,0.344,26.489355476836813,921.6901152198466,-97.12600200008454,9.220188569410306,4.289107212732255,114.96754713988237,0
水,420,4.1,647.1,22.064,0.344,33.92799669206415,921.9664979298059,-96.32004017843961,16.882619435324784,4.287571813791234,293.7571233447523,0
水,420,4.6,647.1,22.064,0.344,763.79264839379,922.2423288678823,-17.180916068838485,12.724473690677959,4.2860429261025965,196.8816204145821,0
水,420,5.1,647.1,22.064,0.344,763.9462002173225,922.5176109740124,-17.188984673069506,12.69252512632161,4.284520499206962,196.24143772146545,0
水,420,5.6,647.1,22.064,0.344,764.099377534403,922.7923471620057,-17.197040061683843,12.660736557231957,4.28300448322875,195.6040930334875,0
水,420,6.1,647.1,22.064,0.344,764.2521813812372,923.0665403198559,-17.205082407557235,12.629063478409824,4.281494828867318,194.96855615147103,0
水,420,6.6,647.1,22.064,0.344,764.4046140515081,923.3401933100743,-17.213111744740512,12.59747491997083,4.279991487388011,194.33411157690887,0
水,420,7.1,647.1,22.064,0.344,764.5566770611659,923.6133089699978,-17.22112818904806,12.565948618785184,4.278494410613882,193.70024622708834,0
水,420,7.6,647.1,22.064,0.344,764.7083714045357,923.8858901120949,-17.229131910245567,12.534625000842912,4.2770035509169855,193.07025003885022,0
水,420,8.1,647.1,22.064,0.344,764.8597005155708,924.1579395242994,-17.237122811575446,12.503462890597199,4.2755188612103145,192.4431699748768,0
水,420,8.6,647.1,22.064,0.344,765.0106642876111,924.4294599703038,-17.245101177088603,12.472430689882804,4.274040294939341,191.8182756641469,0
水,420,9.1,647.1,22.064,0.344,765.1612662770617,924.7004541898377,-17.253066892083865,12.44150376278787,4.272567806074561,191.1949985930955,0
水,420,9.6,647.1,22.064,0.344,765.3115056607841,924.9709248989693,-17.261020313219486,12.410662654948606,4.271101349103362,190.57289070309685,0
水,420,10.1,647.1,22.064,0.344,765.4613861854903,925.2408747904191,-17.268961300604154,12.380009937035888,4.269640879022202,189.9543612171677,0
水,430,0.1,647.1,22.064,0.344,0.5068383981772079,0.5078346520283099,-0.19617681604099896,1.9750704189507515,1.9808873432967464,-0.2936524565962405,0
水,430,0.6,647.1,22.064,0.344,3.1356371201141746,910.5248578536567,-99.65562311747252,2.246555676473722,4.325912531351886,-48.06747338990571,0
水,430,1.1,647.1,22.064,0.344,5.9436471233971835,910.8188089000812,-99.34743913220514,2.592210747193262,4.324176206282359,-40.05307315120089,0
水,430,1.6,647.1,22.064,0.344,8.968508422609078,911.1121097883981,-99.01565259354396,3.0415635468519673,4.32244811074188,-29.633312675442834,0
水,430,2.1,647.1,22.064,0.344,12.263194322664082,911.4047643545026,-98.65447331391235,3.642834105348948,4.320728173401183,-15.689347740628905,0
水,430,2.6,647.1,22.064,0.344,15.906503236963372,911.6967763966188,-98.25528578703195,4.481222396390262,4.319016323847099,3.7556253642190516,0
水,430,3.1,647.1,22.064,0.344,20.025105080758404,911.9881496758803,-97.80423626251336,5.724971322621032,4.317312492563826,32.60497896507998,0
水,430,3.6,647.1,22.064,0.344,24.84799440554824,912.2788879167889,-97.27627212087641,7.768034720868532,4.315616610919605,79.99825798272798,0
水,430,4.1,647.1,22.064,0.344,30.882254980588623,912.568994807771,-96.61589916419483,11.858540534095113,4.313928611151353,174.88958680125592,0
水,430,5.1,647.1,22.064,0.344,754.9113492698139,913.1473291160064,-17.32863633290989,14.10678451181295,4.310575990448237,227.2598497990068,0
水,430,5.6,647.1,22.064,0.344,755.0800772955739,913.4355637339554,-17.33625148018691,14.070822382093857,4.308911238202642,226.5516879842519,0
水,430,6.1,647.1,22.064,0.344,755.2483662981459,913.7231814043053,-17.343854061204695,14.03512469995615,4.307254105184184,225.84854195306377,0
水,430,6.6,647.1,22.064,0.344,755.4162176487981,914.010185642184,-17.3514442710458,13.999443770800713,4.3056045277624495,225.14467319356868,0
水,430,7.1,647.1,22.064,0.344,755.5836305616758,914.2965799294308,-17.35902253730459,13.963938682433094,4.303962443093676,224.4437856292225,0
水,430,7.6,647.1,22.064,0.344,755.7506117492422,914.5823677150601,-17.366588464047688,13.928726955151355,4.302327789107394,223.7486225576772,0
水,430,8.1,647.1,22.064,0.344,755.9171605236802,914.8675524157047,-17.37414246164011,13.893601453270332,4.300700504494232,223.05438239076443,0
水,430,8.6,647.1,22.064,0.344,756.083278852012,915.1521374160242,-17.381684646790067,13.85854242562048,4.299080528693354,222.36061485995452,0
水,430,9.1,647.1,22.064,0.344,756.2489706325454,915.4361260691417,-17.38921492208765,13.823666272369922,4.297467801880668,221.670037093015,0
水,430,9.6,647.1,22.064,0.344,756.4142364661382,915.719521697053,-17.396733547373003,13.788940387066845,4.295862264956891,220.98190157419344,0
水,430,10.1,647.1,22.064,0.344,756.579078966751,916.0023275910349,-17.40424055946954,13.754576368953071,4.294263859536069,220.3011463398769,0
水,440,0.1,647.1,22.064,0.344,0.495139391936521,0.495920723959428,-0.15755179914015843,1.97826145107561,1.977189625970178,0.054209525042702655,0
水,440,0.6,647.1,22.064,0.344,3.057129639387004,3.0961598509253703,-1.2606006607411129,2.236796692611893,2.3706188333989693,-5.64502985050546,0
水,440,1.1,647.1,22.064,0.344,5.78103117659648,900.8759098285394,-99.35828773824169,2.560505435616605,4.355696468800792,-41.21478725716712,0
水,440,1.6,647.1,22.064,0.344,8.697841506166203,901.1853550557558,-99.03484433503381,2.9729226827154465,4.353774114325289,-31.716193705741563,0
水,440,2.1,647.1,22.064,0.344,11.84989357130284,901.4940572205005,-98.6855272670528,3.5108584134357197,4.35186171934125,-19.325138530202075,0
水,440,2.6,647.1,22.064,0.344,15.297674895442256,901.8020210677553,-98.3036548446266,4.235700576691058,4.349959189857585,-2.6266594278156346,0
水,440,3.1,647.1,22.064,0.344,19.133048302817617,902.1092512923011,-97.87907636736803,5.259120092300958,4.348066433185274,20.953075881323915,0
水,440,3.6,647.1,22.064,0.344,23.508233015607342,902.4157525394675,-97.39496646091857,6.811385688574663,4.346183357913524,56.72108440092622,0
水,440,4.1,647.1,22.064,0.344,28.71227081305547,902.7215294058471,-96.81936567615116,9.471760767083339,4.344309873886929,118.02682225816437,0
水,440,4.6,647.1,22.064,0.344,35.45041228000988,903.0265864400263,-96.07426704680258,15.369736779309228,4.342445892182654,253.94192952359168,0
水,440,5.6,647.1,22.064,0.344,745.6461766690408,903.6345589702953,-17.483658712796974,15.539380782036323,4.338746086080834,258.15372630097755,0
水,440,6.1,647.1,22.064,0.344,745.8318883687034,903.9374833297976,-17.490766549328953,15.498963553219205,4.336910089803985,257.3734117674482,0
水,440,6.6,647.1,22.064,0.344,746.0170792036542,904.2397055852606,-17.497863166625518,15.458443841632372,4.335083252049267,256.5893188862037,0
水,440,7.1,647.1,22.064,0.344,746.2017521680186,904.5412300555251,-17.504948655329606,15.418342697635596,4.333265489734725,255.8134790993266,0
水,440,7.6,647.1,22.064,0.344,746.3859107430004,904.8420610154855,-17.51202304793977,15.378254173602528,4.331456720885477,255.0365423126925,0
水,440,8.1,647.1,22.064,0.344,746.5695573531291,905.1422026966678,-17.51908648951592,15.338465923004897,4.329656864614168,254.26516240500655,0
水,440,8.6,647.1,22.064,0.344,746.7526949906552,905.4416592878754,-17.526139058150708,15.29877952655686,4.327865841102305,253.49477290313297,0
水,440,9.1,647.1,22.064,0.344,746.9353270630648,905.7404349357996,-17.533180781974377,15.259436828995689,4.326083571581304,252.7309765635882,0
水,440,9.6,647.1,22.064,0.344,747.1174561074725,906.0385337455905,-17.540211781184784,15.220253406706536,4.324309978314882,251.96952769416492,0
水,440,10.1,647.1,22.064,0.344,747.2990840064313,906.3359597814709,-17.547232244143274,15.181200472810401,4.322544984580693,251.20977403276342,0
水,450,0.1,647.1,22.064,0.344,0.48397394734737353,0.4845841104509276,-0.12591479794627738,1.9816319876768689,1.975203826267822,0.3254429402960911,0
水,450,0.6,647.1,22.064,0.344,2.982708630436417,3.0123720249330272,-0.9847188279233126,2.2282683501488942,2.2928256684025703,-2.815622624229152,0
水,450,1.1,647.1,22.064,0.344,5.6281403360136,890.4514998515843,-99.36794532470867,2.5324166324534683,4.391998700934295,-42.34022355437501,0
水,450,1.6,647.1,22.064,0.344,8.445948425833484,890.7794444378558,-99.05184740413902,2.9129874545732406,4.389839077809456,-33.64250026160798,0
水,450,2.1,647.1,22.064,0.344,11.470284830433942,891.106527088712,-98.7128043077063,3.3984556809177424,4.3876917778277,-22.545706193604104,0
水,450,2.6,647.1,22.064,0.344,14.748293046061075,891.4327538080161,-98.34555181161345,4.034019736920817,4.3855566735173195,-8.01578825145046,0
水,450,3.1,647.1,22.064,0.344,18.34829701924897,891.7581305305637,-97.94245811828681,4.896554772091688,4.383433639379469,11.705917664693075,0
水,450,3.6,647.1,22.064,0.344,22.37613045232508,892.0826631231774,-97.49169764447765,6.129853330899337,4.381322551767702,39.90874350089034,0
水,450,4.1,647.1,22.064,0.344,27.01242397086606,892.4063573858145,-96.97308028486088,8.043243994985064,4.37922328889223,83.66827778310628,0
水,450,4.6,647.1,22.064,0.344,32.61772046390786,892.7292190526127,-96.34629182424177,11.474228478827051,4.377135730775349,162.14011135529836,0
水,450,5.1,647.1,22.064,0.344,40.17266164922882,893.0512537929563,-95.5016398578908,20.07640510793162,4.3750597592163425,358.88299161261494,0
水,450,5.6,647.1,22.064,0.344,735.7642019287499,893.3724672125077,-17.64194342988044,17.078693310251737,4.372995257756706,290.5490928662223,0
水,450,6.1,647.1,22.064,0.344,735.9696109803255,893.6928648541816,-17.64848529920745,17.032433555274356,4.3709421116467135,289.6741965511307,0
水,450,6.6,647.1,22.064,0.344,736.1743988092886,894.0124521991656,-17.655017332433566,16.98652181440224,4.368900207812486,288.80544316454905,0
水,450,7.1,647.1,22.064,0.344,736.3785691617616,894.3312346678488,-17.661539638023516,16.940535170609945,4.366869434824085,287.93317325944685,0
水,450,7.6,647.1,22.064,0.344,736.5821259950861,894.6492176207936,-17.668052294961694,16.894953329499472,4.364849682864026,287.06838853643484,0
水,450,8.1,647.1,22.064,0.344,736.7850734171786,894.9664063596516,-17.674555359668567,16.849841176505876,4.362840843696739,286.21260275514896,0
水,450,8.6,647.1,22.064,0.344,736.9874143353177,895.2828061280763,-17.68104901705366,16.80468833908755,4.3608428106387915,285.3541406741497,0
水,450,9.1,647.1,22.064,0.344,737.1891532672095,895.5984221126042,-17.68753326649763,16.760023300107054,4.358855478529749,284.5051386232297,0
水,450,9.6,647.1,22.064,0.344,737.3902935759043,895.9132594435241,-17.69400823089534,16.715385892188486,4.356878743703593,283.6550630734209,0
水,450,10.1,647.1,22.064,0.344,737.5908377561259,896.2273231957586,-17.700474124574583,16.671003883120658,4.354912503960938,282.80915788681915,0
水,460,0.1,647.1,22.064,0.344,0.47330599480335656,0.4737793023348647,-0.09990042392641668,1.9851708027961206,1.974583515342713,0.5361782558774221,0
水,460,0.6,647.1,22.064,0.344,2.9120449499266408,2.9345948687120478,-0.7684167591863833,2.220839850807558,2.2407296271526733,-0.8876473138077604,0
水,460,1.1,647.1,22.064,0.344,5.4840441837158425,5.5867327359488215,-1.8380788393941119,2.5074565916707483,2.695738836053365,-6.984439362763611,0
水,460,1.6,647.1,22.064,0.344,8.210691278035835,879.8682721844301,-99.06682721293593,2.8603274033610147,4.431319627125973,-35.45201781763277,0
水,460,2.1,647.1,22.064,0.344,11.119767942017857,880.2164804805283,-98.73670077888711,3.301735180171864,4.428884177956783,-25.44995426601823,0
水,460,2.6,647.1,22.064,0.344,14.248494757364123,880.5636868977684,-98.38188935458358,3.865571295968784,4.426464016846681,-12.671349382784886,0
水,460,3.1,647.1,22.064,0.344,17.648739630668505,880.9098990448952,-97.99653294283516,4.606330804092686,4.424058970841994,4.120013644754861,0
水,460,3.6,647.1,22.064,0.344,21.396630972390653,881.2551244354584,-97.57202762524672,5.61835127756423,4.4216688698349325,27.06404398332911,0
水,460,4.1,647.1,22.064,0.344,25.61221804381395,881.5993704895039,-97.09480077899863,7.082595261599689,4.4192935464975465,60.26532718590073,0
水,460,4.6,647.1,22.064,0.344,30.50607827723432,881.9426445351853,-96.54103603377608,9.40398475000189,4.416932836223416,112.90757860023344,0
水,460,5.1,647.1,22.064,0.344,36.51927472856609,882.2849538103476,-95.86082993132216,13.76026144173057,4.414586577069678,211.69988857403678,0
